"aq",,,,
"Czas","Si³a","Przemieszczenie","Naprê¿.","Rozstaw"
"sec","N","mm","N/mm2","mm"
"1801,96","-0,02503395","-4,793751","-0,0001416632","8,10725"
"1801,97","-0,02463659","-4,793001","-0,0001394146","8,106501"
"1801,98","-0,02455711","-4,79175","-0,0001389648","8,105249"
"1801,99","-0,02479553","-4,790627","-0,000140314","8,104126"
"1802","-0,0251929","-4,789751","-0,0001425626","8,103251"
"1802,01","-0,02543131","-4,789001","-0,0001439118","8,102501"
"1802,02","-0,02559026","-4,788126","-0,0001448113","8,101625"
"1802,03","-0,02527237","-4,787251","-0,0001430124","8,10075"
"1802,04","-0,02495448","-4,786501","-0,0001412135","8,1"
"1802,05","-0,02463659","-4,785751","-0,0001394146","8,099251"
"1802,06","-0,02463659","-4,785126","-0,0001394146","8,098625"
"1802,07","-0,02495448","-4,7845","-0,0001412135","8,098"
"1802,08","-0,02543131","-4,783876","-0,0001439118","8,097376"
"1802,09","-0,0260671","-4,783377","-0,0001475096","8,096876"
"1802,1","-0,02646446","-4,782501","-0,0001497582","8,096001"
"1802,11","-0,02686183","-4,781126","-0,0001520068","8,094625"
"1802,12","-0,02741814","-4,779751","-0,0001551549","8,09325"
"1802,13","-0,02741814","-4,779001","-0,0001551549","8,092501"
"1802,14","-0,02646446","-4,778126","-0,0001497582","8,091625"
"1802,15","-0,02543131","-4,777376","-0,0001439118","8,090876"
"1802,16","-0,0251929","-4,776627","-0,0001425626","8,090126"
"1802,17","-0,02543131","-4,775751","-0,0001439118","8,089251"
"1802,18","-0,02598763","-4,775126","-0,0001470599","8,088625"
"1802,19","-0,02662341","-4,774502","-0,0001506577","8,088001"
"1802,2","-0,02725919","-4,773876","-0,0001542555","8,087376"
"1802,21","-0,02749761","-4,773251","-0,0001556046","8,08675"
"1802,22","-0,02670288","-4,772251","-0,0001511074","8,085751"
"1802,23","-0,0251929","-4,77075","-0,0001425626","8,084249"
"1802,24","-0,0240008","-4,769751","-0,0001358168","8,08325"
"1802,25","-0,02376238","-4,769001","-0,0001344676","8,0825"
